Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
8/17/2020,82.22,906890,82.01,82.85,81.02,90450,95460,-0.6
8/18/2020,81.23,604570,82.22,82.5,81.23,177350,463680,-33.3
8/19/2020,81.02,981840,81.23,81.52,80.74,131250,445330,-36.3
8/20/2020,80.95,1254280,81.02,81.38,80.53,210670,559650,-40.2
8/21/2020,81.23,884990,80.95,81.52,80.88,95980,563588,-54
8/24/2020,81.87,1526860,81.23,82.64,81.52,254310,1077040,-95.9
8/25/2020,82.43,1693030,81.87,82.85,82.08,331490,911620,-68
8/26/2020,82.29,1922780,82.43,83.06,82.15,243390,1033190,-92.9
8/27/2020,82.36,799570,82.29,82.85,82.22,481480,801540,-37.6
8/28/2020,83.83,1341270,82.36,84.33,82.36,896440,781810,13.5
8/31/2020,85.03,1634090,83.83,85.03,83.98,654450,593070,7.5
9/1/2020,86.58,1448060,85.03,86.58,84.47,433630,356040,9.5
9/3/2020,87.63,2016680,86.58,87.7,86.79,1374900,1200180,21.7
9/4/2020,87.84,1711980,87.63,87.84,86.5,1318600,854740,57.6
9/7/2020,88.54,2178380,87.84,90.23,87.77,1829440,1218100,77.7
9/8/2020,87.28,1809570,88.54,89.53,87.07,1537910,2146470,-75.8
9/9/2020,87,1621920,87.28,87.28,85.38,131940,405240,-33.7
9/10/2020,87.63,848330,87,88.12,87.42,259920,477400,-27.2
9/11/2020,87,956670,87.63,87.63,86.79,615780,1026360,-50.9
9/14/2020,87.28,1194170,87,87.84,87.14,521950,830230,-38.3
9/15/2020,87.7,882030,87.28,87.77,87.14,495170,851690,-44.3
9/16/2020,87.28,724510,87.7,87.84,87.07,51630,399240,-43.2
9/17/2020,87.49,1376570,87.28,88.4,87.14,177510,373340,-24.4
9/18/2020,88.82,1224030,87.49,88.82,87.28,578020,594250,-1.7
9/21/2020,91.42,2614310,88.82,91.49,88.82,949790,480720,60.7
9/22/2020,91.07,1244610,91.42,91.49,90.3,597660,368520,29.8
9/23/2020,90.79,1042800,91.07,91.49,90.72,132580,210120,-10
9/24/2020,89.46,1506610,90.79,90.79,89.46,326110,807220,-61.5
9/25/2020,89.74,1011140,89.46,89.95,89.6,318720,509050,-24.3
9/28/2020,90.16,2169790,89.74,90.37,89.46,121770,1078360,-122.3
9/29/2020,93.54,5191680,90.16,96.46,92.51,332110,1933290,-176
9/30/2020,93.29,1432380,93.54,95.43,92.94,57010,545200,-53.3
10/1/2020,93.63,1702500,93.29,93.71,92.43,766290,1196280,-46.7
10/2/2020,92.51,2864220,93.63,94.31,91.4,538800,1187200,-70.4
10/5/2020,91.92,1427600,92.51,93.37,91.66,54260,814736,-81.8
10/6/2020,91.66,2044710,91.92,92.51,91.23,97670,1083380,-105.5
10/7/2020,92.51,2153700,91.66,92.51,91.23,387960,1325200,-100.5
10/8/2020,91.57,1325810,92.51,92.51,91.49,565160,950390,-41.2
10/9/2020,91.4,980970,91.57,91.74,91.32,236840,498220,-27.9
10/12/2020,91.66,1209250,91.4,92.34,91.32,565160,950390,-35.8
10/13/2020,91.74,858550,91.66,92.51,91.57,956190,929670,2.8
10/14/2020,92,1299160,91.74,92.26,91.49,925590,939860,-1.5
10/15/2020,92.09,1854560,92,92.43,91.66,1411110,1142890,28.8
10/16/2020,92,1637740,92.09,92.51,91.57,744170,514460,24.7
10/19/2020,92.26,1617740,92,92.77,92,754730,628910,13.6
10/20/2020,90.97,2150990,92.26,92.26,90.8,126750,599620,-50.4
10/21/2020,91.14,805550,90.97,91.57,90.8,198170,247280,-5.2
10/22/2020,91.4,2422540,91.14,91.49,90.03,222590,1352360,-119.7
10/23/2020,94.23,2946790,91.4,94.23,91.74,344740,251590,10
10/26/2020,94.66,2313520,94.23,96.37,94.23,387650,38340,39.1
10/27/2020,93.89,1721090,94.66,95.08,93.46,488280,118600,40.7
10/28/2020,92,2609180,93.89,93.89,91.23,519310,675390,-16.9
10/29/2020,91.57,1723240,92,92,90.46,504730,717830,-22.7
10/30/2020,92.51,2683620,91.57,92.51,90.2,649430,1427840,-82.2
11/2/2020,92.17,867340,92.51,92.51,91.66,847400,902460,-5.9
11/3/2020,92.26,870230,92.17,92.51,91.66,494780,750910,-27.6
11/4/2020,92.51,1342780,92.26,93.71,92,614420,359440,27.6
11/5/2020,93.2,1891270,92.51,93.71,92.51,830920,49820,85.2
11/6/2020,93.2,1011020,93.2,93.71,92.51,654180,326910,35.6
11/9/2020,93.2,1066640,93.2,93.71,92.94,294440,236240,6.4
11/10/2020,92.09,2297200,93.2,93.54,92.09,117750,1244311,-121.9
11/11/2020,92.09,2429710,92.09,92.43,90.8,404470,1157600,-80.3
11/12/2020,91.66,1074590,92.09,92.09,91.4,114650,743067,-67.2
11/13/2020,92,1089500,91.66,92,91.66,632110,1037660,-43.5
11/16/2020,91.74,2571160,92,93.11,91.66,958370,705690,27.3
11/17/2020,92.17,1648330,91.74,92.26,91.66,741640,862130,-12.9
11/18/2020,93.71,3396750,92.17,93.8,92.34,1092730,161400,101.3
11/19/2020,93.97,3140680,93.71,93.97,93.37,1575290,686150,97.3
11/20/2020,95,2801420,93.97,95.51,93.46,1043630,512040,58.4
11/23/2020,94.74,2104330,95,95.34,94.06,988620,615210,41.2
11/24/2020,93.89,1937130,94.74,95,93.37,431070,349170,9.1
11/25/2020,94.66,2190900,93.89,95.08,93.46,502030,289780,23.4
11/26/2020,94.14,1490270,94.66,95,93.63,404430,453910,-5.4
11/27/2020,94.06,2823860,94.14,94.14,93.11,751510,1545930,-86.6
11/30/2020,92.69,2687040,94.06,94.23,92.51,1191190,1230790,-4.3
12/1/2020,93.97,2493230,92.69,94.06,91.83,1367320,467100,98.1
12/2/2020,93.37,1332460,93.97,94.06,93.11,292620,82860,23
12/3/2020,93.8,1108730,93.37,94.14,93.2,885300,516030,40.4
12/4/2020,93.37,1571130,93.8,93.97,93.2,437530,684230,-26.9
12/7/2020,94.23,1970400,93.37,95,93.2,647820,266990,41.9
12/8/2020,93.54,1468350,94.23,94.49,93.37,417000,633140,-23.6
12/9/2020,93.97,1701940,93.54,94.31,93.63,619820,411370,22.9
12/10/2020,95.94,6077770,93.97,97.57,94.49,1391190,754304,71.7
12/11/2020,96.46,2297940,95.94,96.63,95.77,1072250,963870,12.2
12/14/2020,97.14,2535300,96.46,97.14,96.28,869040,1191920,-36.3
12/15/2020,95.26,4572910,97.14,97.14,94.91,309790,2259920,-218
12/16/2020,95.6,2106480,95.26,96.2,94.83,747080,910730,-18.2
12/17/2020,94.57,2951870,95.6,95.6,94.49,565690,792330,-25.1
12/18/2020,94.57,3342900,94.57,95.08,94.23,1070650,2126650,-116.5
12/21/2020,95.08,2341080,94.57,95.43,94.4,486530,628430,-15.6
12/22/2020,94.14,2266760,95.08,95.08,94.06,282730,707390,-46.8
12/23/2020,94.4,2432590,94.14,95.43,94.14,598660,678913,-8.8
12/24/2020,93.11,2511360,94.4,94.66,92.51,180420,735190,-60.3
12/25/2020,93.37,1755510,93.11,93.46,92.6,47390,318770,-29.5
12/28/2020,93.11,2305300,93.37,93.97,92.77,145130,612840,-50.9
12/29/2020,93.54,1299700,93.11,93.71,93.03,169390,193860,-2.7
12/30/2020,93.2,1856600,93.54,94.4,93.03,886010,1297160,-43.5
12/31/2020,93.2,993810,93.2,94.14,93.2,58280,141500,-9.1
1/4/2021,93.63,2299600,93.2,94.06,93.37,335200,1081200,-81.5
1/5/2021,95.79,4013900,93.63,96.83,93.71,1134200,642200,54.3
1/6/2021,94.93,2823100,95.79,96.22,94.93,605400,450000,17.2
1/7/2021,95.44,2453000,94.93,95.79,94.93,414700,685800,-29.9
