Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
2021-01-15,98.47,2125700,97.78,99.68,97.78,314200,417900,-11.8
2021-01-18,97.95,2624000,98.47,99.51,97.95,357800,677400,-36.5
2021-01-19,93.11,3668300,97.95,97.95,92.50,1126772,1180772,-5.6
2021-01-20,94.23,3363700,93.11,94.67,91.64,1647300,707900,101.6
2021-01-21,95.36,2531200,94.23,95.70,94.06,586800,509300,8.4
2021-01-22,93.97,2429000,95.36,95.79,93.97,399600,1381100,-107.3
2021-01-25,93.54,2554800,93.97,94.84,93.37,356700,1424400,-116.0
2021-01-26,92.25,2596900,93.54,93.80,90.78,339400,1147000,-85.9
2021-01-27,89.31,3153800,92.25,92.33,88.61,565800,1514500,-99.0
2021-01-28,83.08,4565600,89.31,89.31,83.08,886900,1062200,-17.4
2021-01-29,88.87,4140500,83.08,88.87,82.99,1245900,925200,32.2
2021-02-01,88.79,2934800,88.87,90.95,88.18,2247700,1406100,87.5
2021-02-02,91.99,3350900,88.79,92.50,88.44,2462100,1321200,120.3
2021-02-03,94.84,3056500,91.99,94.84,91.99,1997500,708200,140.5
2021-02-04,94.06,1896800,94.84,94.84,92.50,1027100,433300,64.4
2021-02-05,94.75,2231200,94.06,95.10,93.89,1746800,844200,98.7
2021-02-08,91.03,4331600,94.75,94.75,89.74,1403000,2800900,-146.1
2021-02-09,93.37,1931700,91.03,94.15,90.69,2174800,2418600,-25.7
2021-02-17,93.97,2872300,93.37,94.15,92.76,640400,1689400,-113.0
2021-02-18,94.23,2847400,93.97,94.23,92.94,872100,1049500,-19.2
2021-02-19,93.37,2696500,94.23,94.23,92.59,540500,1619300,-116.3
2021-02-22,92.94,3006200,93.37,93.37,92.76,417500,2074040,-178.2
2021-02-23,92.50,3048400,92.94,93.37,91.81,1077700,2074100,-106.4
2021-02-24,91.47,2801000,92.50,93.28,91.21,245600,1435000,-126.6
2021-02-25,90.43,4282900,91.47,91.90,90.08,695700,2914000,-233.3
2021-02-26,90.60,3357800,90.43,90.69,89.39,487900,1808500,-137.0
2021-03-01,91.29,2179000,90.60,91.55,90.78,506900,1259100,-79.2
2021-03-02,90.69,3050100,91.29,92.07,89.91,297000,1905067,-168.9
2021-03-03,90.34,2551300,90.69,90.69,89.91,520200,1526900,-105.0
2021-03-04,89.39,2755100,90.34,91.21,89.05,517400,1239900,-74.9
2021-03-05,89.05,4187600,89.39,89.39,87.92,157700,2809500,-270.8
2021-03-08,88.35,3208200,89.05,89.57,87.92,74300,2065700,-203.9
2021-03-09,86.89,4141900,88.35,88.35,86.63,164700,2879600,-273.0
2021-03-10,87.40,3391300,86.89,88.61,86.28,205700,2047000,-185.5
2021-03-11,88.87,2417000,87.40,89.74,88.27,186300,1329900,-117.4
2021-03-12,88.35,2704600,88.87,89.31,87.92,727900,1287994,-57.5
